"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"EDSON RODRIGUES MIRANDA";"CARTEIRO DA NORTE";"Vereador";65046;"PC do B";"PC do B";"Deferido";"Concorrendo"
"CATIA SIMONE SILVA FONSECA CABRERA SANTURION";"CATIA SANTURION";"Vereador";25254;"DEM";"DEM";"Deferido";"Concorrendo"
"FERNANDO XAVIER DOS SANTOS";"CEARÁ DO CINTO";"Vereador";77007;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"MARIO CELIO DE OLIVEIRA";"CELHÃO DO INTERLAGOS";"Vereador";23551;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"CESAR AUGUSTO DE OLIVEIRA";"CESAR PIOLHO";"Vereador";19700;"PODE";"PODE";"Deferido";"Concorrendo"
"JULIO CÉSAR DE ARAÚJO";"CEZINHA OH GLÓRIA";"Vereador";15033;"MDB";"MDB";"Deferido";"Concorrendo"
"CHARLES EMERENCIANO SANT'ANA";"CHARLÃO";"Vereador";11900;"PP";"PP";"Deferido";"Concorrendo"
"FRANCISCO DE LIRA PARENTE";"CHICO LIRA";"Vereador";10030;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"CRISTHOFER AUGUSTO RAMOS DA SILVA";"CHRIS DO FUTEBOL";"Vereador";55101;"PSD";"PSD";"Deferido";"Concorrendo"
"CÍCERO PEREIRA DA SILVA";"CÍCERO BONTEMPO";"Vereador";11100;"PP";"PP";"Deferido";"Concorrendo"
"FLAVIO ALVES MOREIRA";"CICICO MOTOBOY";"Vereador";70280;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"APARECIDA TERESINHA DE OLIVEIRA";"CIDINHA";"Vereador";36610;"PTC";"PTC";"Deferido";"Concorrendo"
"CINTHYA CAMPOS RIBEIRO REIS";"CINTHYA  MÃE DO RAFA";"Vereador";70800;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"CLAUDIA REGINA FERNANDES FARIA";"CLAUDIA ARQUITETA";"Vereador";10150;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"CLAUDIO ALEXANDRE";"CLAUDINHO GORDINHO";"Vereador";28010;"PRTB";"PRTB";"Deferido";"Concorrendo"
"CLAYTON RICARDO";"CLAYTON FERRARI";"Vereador";17156;"PSL";"PSL";"Deferido";"Concorrendo"
"CLEIDE APARECIDA DOS SANTOS";"CLEIDE DO POVO";"Vereador";23333;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"CLEUZA PEREIRA AFFONSO";"CLEUZA PEREIRA";"Vereador";77177;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"CARLOS ROBERTO CLÍMACO";"CLÍMACO";"Vereador";14222;"PTB";"PTB";"Deferido";"Concorrendo"
"GILMAR BARBOSA NUNES";"CORONEL GILMAR DA ABREED";"Vereador";55111;"PSD";"PSD";"Deferido";"Concorrendo"
"SADI FERNANDO STAMBOROWSKI";"CORONEL SADI";"Vereador";15190;"MDB";"MDB";"Deferido";"Concorrendo"
"CRISTIANE APARECIDA CLAUDINO LOBO";"CRIS DA GUARDA";"Vereador";45153;"PSDB";"PSDB";"Deferido";"Concorrendo"
"CRISTIANE PEREIRA HYDE";"CRIS HYDE";"Vereador";55777;"PSD";"PSD";"Deferido";"Concorrendo"
"CRISTIANO ALVES DOS SANTOS";"CRISTIANO ALVES";"Vereador";28666;"PRTB";"PRTB";"Deferido";"Concorrendo"
"CYBELLE DE LOURDES BERNARDINO CHAVES SILVA";"CYBELLE CHAVES";"Vereador";30123;"NOVO";"NOVO";"Deferido";"Concorrendo"
"ROGÉRIO CYBORG DA MATTA CASTRO";"CYBORG";"Vereador";23123;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"DAHLCINAM DA SILVA BRITTO";"DAHLCINAM";"Vereador";17222;"PSL";"PSL";"Deferido";"Concorrendo"
"DAIRTON MONTEIRO";"DAIRTON CARTEIRO";"Vereador";36400;"PTC";"PTC";"Deferido";"Concorrendo"
"DANIELA DE FATIMA ALMEIDA";"DANIELA BARRETO";"Vereador";13600;"PT";"PT";"Deferido";"Concorrendo"
