"Nome Completo";"Nome Urna";"Cargo";"Número";"Partido";"Coligação";"Situação";"Situação Pós-Pleito"
"GILSON RIBEIRO CAMPOS";"GILSON CAMPOS";"Vereador";22500;"PL";"PL";"Deferido";"Concorrendo"
"GILVAN DA SILVA DUARTE";"GILVAN DUARTE O FARMACÊUTICO";"Vereador";20128;"PSC";"PSC";"Deferido";"Concorrendo"
"GISLEINE REGINA PEREIRA SOJA";"GISA SOJA";"Vereador";22733;"PL";"PL";"Deferido";"Concorrendo"
"GLÁUCIA REGINA DE OLIVEIRA";"GLÁUCIA";"Vereador";11013;"PP";"PP";"Deferido";"Concorrendo"
"GLORIA DOS REIS LIMA";"GLORIA REIS";"Vereador";65200;"PC do B";"PC do B";"Deferido";"Concorrendo"
"GLÓRIA APARECIDA DA SILVA";"GLORINHA";"Vereador";11125;"PP";"PP";"Deferido";"Concorrendo"
"ORLANDO SAES JÚNIOR";"GORDO DO CACHORRO QUENTE";"Vereador";11611;"PP";"PP";"Deferido";"Concorrendo"
"ERNESTO GRADELLA NETO";"GRADELLA";"Vereador";16016;"PSTU";"PSTU";"Deferido";"Concorrendo"
"GRAZIELLE PAULA DE FREITAS";"GRAZI";"Vereador";23016;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"MÁRCIO ANTÔNIO RODRIGUES";"GREG DA MERCEARIA";"Vereador";25031;"DEM";"DEM";"Deferido";"Concorrendo"
"GUARAÇAI APARECIDO RIBEIRO DA SILVA";"GUARA";"Vereador";70200;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"GUILHERME ADOLFO SANTOS GOPFERT PINTO ELIAS";"GUILHERME GOPFERT";"Vereador";51333;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"JOSEMIR MARIANO FLORENÇO";"GUINHO DO GÁS";"Vereador";17617;"PSL";"PSL";"Deferido";"Concorrendo"
"GUSTAVO MOREIRA DE CARVALHO";"GUSTAVINHO";"Vereador";45002;"PSDB";"PSDB";"Deferido";"Concorrendo"
"GUSTAVO SABOIA OLIVEIRA";"GUSTAVO SABOIA";"Vereador";70212;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"HEIDI MOURA DOS SANTOS";"HEIDI MOURA";"Vereador";77535;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"HENRIQUE CÉSAR HOLANDA CAVALCANTE";"HENRIQUE HOLANDA";"Vereador";11777;"PP";"PP";"Renúncia";"Concorrendo"
"HENRIQUE MELO VENEZIANI DIAS";"HENRIQUE VENEZIANI";"Vereador";23111;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"HENRIQUE VILELA DE SOUZA";"HENRIQUE VILELA";"Vereador";20038;"PSC";"PSC";"Deferido";"Concorrendo"
"HORÁCIO APARECIDO RIBEIRO DOS SANTOS";"HORÁCIO RIBEIRO";"Vereador";13000;"PT";"PT";"Deferido";"Concorrendo"
"HUDSON CORREA LOPES";"HUDSON LOPES";"Vereador";55141;"PSD";"PSD";"Deferido";"Concorrendo"
"IDALECIO PIAUNIAS MELLO";"IDALECIO";"Vereador";19999;"PODE";"PODE";"Deferido";"Concorrendo"
"CLÉLIO DE ASSIS DA SILVA";"INDIÃO DA POUSADA";"Vereador";10244;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"BENEDITO APARECIDO ALVES";"INDIO DA FUNILARIA";"Vereador";20266;"PSC";"PSC";"Deferido";"Concorrendo"
"INGRID RODRIGUES DE SÁ";"INGRID DE SÁ MUITAS";"Vereador";50123;"PSOL";"PSOL";"Deferido";"Concorrendo"
"GERALDO MARÇAL DA SILVA";"INSPETOR MARÇAL";"Vereador";70123;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"IRLANE PEREIRA DA SILVA";"IRLANE PEREIRA";"Vereador";70070;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"MARIA ISABEL MENDES OTA";"ISA OTA";"Vereador";36156;"PTC";"PTC";"Deferido";"Concorrendo"
"IVAN NARCISO";"IVAN NARCISO";"Vereador";51234;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"IVETE DA SILVA BATISTA";"IVETE CONSELHEIRA";"Vereador";55123;"PSD";"PSD";"Deferido";"Concorrendo"
"IVO PINHEIRO DE OLIVEIRA";"IVO OLIVEIRA";"Vereador";70100;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"JAIRO DOS SANTOS";"JAIRO SANTOS";"Vereador";17007;"PSL";"PSL";"Deferido";"Concorrendo"
"JAIR RAMALHO DA SILVA";"JAIR RAMALHO DA AUTO ESCOLA";"Vereador";17123;"PSL";"PSL";"Deferido";"Concorrendo"
"JAIR CAVALCANTE VAZ";"JAIR VAZ";"Vereador";40000;"PSB";"PSB";"Deferido";"Concorrendo"
"JAMILE JAQUELINE APARECIDA DOS SANTOS CAMARGO";"JAMILE CAMARGO";"Vereador";10585;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"JAMILTON EMÍDIO PEREIRA";"JAMILTON";"Vereador";14007;"PTB";"PTB";"Deferido";"Concorrendo"
"JANAINA DOS REIS";"JANAINA DOS REIS";"Vereador";16116;"PSTU";"PSTU";"Deferido";"Concorrendo"
"JANDIRA DA CONCEIÇÃO OLIVEIRA";"JANDIRA OLIVEIRA";"Vereador";11651;"PP";"PP";"Deferido";"Concorrendo"
"JEAN CARLOS DOS SANTOS";"JEAN DOS SANTOS";"Vereador";18000;"REDE";"REDE";"Indeferido com recurso";"Concorrendo"
"JEAN MARCEL VIEIRA";"JEAN MARCEL DA ADVENTISTA";"Vereador";25777;"DEM";"DEM";"Deferido";"Concorrendo"
"JEFTE PAVAM GOMES DE OLIVEIRA";"JEFTE PAVAM";"Vereador";30500;"NOVO";"NOVO";"Deferido";"Concorrendo"
"JERRY DE OLIVEIRA";"JERRY";"Vereador";14300;"PTB";"PTB";"Deferido";"Concorrendo"
"JESUEL APARECIDO DA SILVA";"JESUEL SILVA";"Vereador";14111;"PTB";"PTB";"Deferido";"Concorrendo"
"JESUÉ MOREIRA";"JESUÉ MOREIRA";"Vereador";51222;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"JOÃO BATISTA SANTOS";"JOÃO BATISTA";"Vereador";15777;"MDB";"MDB";"Deferido";"Concorrendo"
"JOÃO BATISTA DE SOUZA";"JOÃO BATISTA DE SOUZA";"Vereador";77500;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"JOAO BATISTA SOARES DE OLIVEIRA";"JOÃO DA MÁQUINA DE LAVAR";"Vereador";65500;"PC do B";"PC do B";"Deferido";"Concorrendo"
"JOÃO BOSCO DOS SANTOS";"JOÃO DO DETRAN";"Vereador";20300;"PSC";"PSC";"Deferido";"Concorrendo"
"JOAO PEDRO GUEDES TEIXEIRA";"JOÃO GUEDES";"Vereador";45605;"PSDB";"PSDB";"Deferido";"Concorrendo"
"JOÃO MÁRIO ANTUNES PEREIRA";"JOÃO MÁRIO";"Vereador";70007;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"JOÃO PEDRO CORRÊA LIMA";"JOÃO PEDRO LIMA";"Vereador";15000;"MDB";"MDB";"Deferido";"Concorrendo"
"JOÃO VITOR DA SILVA BASTOS";"JOÃO SOBRANCELHAS";"Vereador";70777;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"JOÃO APARECIDO TEIXEIRA";"JOÃO TEIXEIRA";"Vereador";17555;"PSL";"PSL";"Deferido";"Concorrendo"
"JOÃO BATISTA DA SILVA";"JOÃO VINTE E NOVE";"Vereador";36029;"PTC";"PTC";"Indeferido com recurso";"Concorrendo"
"JOÃO JOSÉ ALVES";"JOÃOZINHO CABELEIREIRO";"Vereador";28000;"PRTB";"PRTB";"Deferido";"Concorrendo"
"JONAS OKADA";"JONAS OKADA";"Vereador";20333;"PSC";"PSC";"Deferido";"Concorrendo"
"JOSÉ DIMAS PEREIRA";"JOSÉ DIMAS";"Vereador";45123;"PSDB";"PSDB";"Deferido";"Concorrendo"
"JOSÉ LOPES DE SOUSA";"JOSÉ LOPES DINHO";"Vereador";13333;"PT";"PT";"Deferido";"Concorrendo"
"JOSÉ MAURÍCIO DOS SANTOS";"JOSÉ MAURÍCIO";"Vereador";15654;"MDB";"MDB";"Deferido";"Concorrendo"
"JOSE NILTON DOS SANTOS";"JOSE NILTON JHONES";"Vereador";36022;"PTC";"PTC";"Indeferido com recurso";"Concorrendo"
"JOSEANE ALMEIDA DE OLIVEIRA";"JOSY OLIVEIRA";"Vereador";20800;"PSC";"PSC";"Deferido";"Concorrendo"
"JOY ARRUDA MARQUES CORREA DIAS";"JOY ARRUDA";"Vereador";45450;"PSDB";"PSDB";"Deferido";"Concorrendo"
"JUCIARA EVELYN DE SOUZA";"JUCIARA";"Vereador";19900;"PODE";"PODE";"Indeferido com recurso";"Concorrendo"
"JULIANA FRAGA E SILVA DE SOUZA";"JULIANA FRAGA";"Vereador";13222;"PT";"PT";"Deferido";"Concorrendo"
"JUTAI DOS SANTOS MUNIZ";"JU MOTORISTA JUTAI";"Vereador";40456;"PSB";"PSB";"Deferido";"Concorrendo"
"WASHINGTON JOANES GUILHERME";"JUNINHO";"Vereador";10000;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"BERNARDO CASTRO JUNIOR";"JUNIOR DA FARMÁCIA";"Vereador";17999;"PSL";"PSL";"Deferido";"Concorrendo"
"JURANDI MANOEL DA SILVA";"JURANDI DO COQUEIRO";"Vereador";77133;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"JUVENIL DE ALMEIDA SILVÉRIO";"JUVENIL SILVÉRIO";"Vereador";45654;"PSDB";"PSDB";"Deferido";"Concorrendo"
"JAIR PEREIRA DOS SANTOS";"KALEB DO GÁS";"Vereador";28221;"PRTB";"PRTB";"Deferido";"Concorrendo"
"KARINA CARDOSO DE OLIVEIRA LEITE DA GUIA";"KARINA GUIA";"Vereador";55156;"PSD";"PSD";"Deferido";"Concorrendo"
"KÁTIA CILENE CALIONI";"KATIA CALIONI";"Vereador";17456;"PSL";"PSL";"Deferido";"Concorrendo"
"KELLY CRISTINE MOREIRA LINHARES";"KELLY LINHARES";"Vereador";45000;"PSDB";"PSDB";"Deferido";"Concorrendo"
"KEYLA JANET LEAL";"KEYLA LEAL";"Vereador";20121;"PSC";"PSC";"Deferido";"Concorrendo"
"LADI ROSÂNGELA FIALHO";"LADI FIALHO";"Vereador";10157;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"LARISSA COMODARO NUNES SANT'ANA";"LARI COMODARO";"Vereador";16000;"PSTU";"PSTU";"Deferido";"Concorrendo"
"LEANDRO MARCIO RODRIGUES";"LEANDRO RODRIGUES";"Vereador";45456;"PSDB";"PSDB";"Deferido";"Concorrendo"
"LEDA DA SILVA";"LEDINHA DO BOLINHO";"Vereador";14210;"PTB";"PTB";"Deferido";"Concorrendo"
"LIONEIDE FERREIRA DE OLIVEIRA";"LEIA DE OLIVEIRA";"Vereador";18153;"REDE";"REDE";"Deferido";"Concorrendo"
"LEILA MARIA ALVES REIS DE ALMEIDA";"LEILA REIS";"Vereador";10070;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"LENIVALDO BARBOSA DA SILVA";"LENO";"Vereador";11500;"PP";"PP";"Deferido";"Concorrendo"
"JOSÉ LEÃO DIAS";"LÉO CASCAVEL";"Vereador";22009;"PL";"PL";"Deferido";"Concorrendo"
"LEONAN DE CARVALHO SILVA PEREIRA";"LÉO DO JAIME DO RESTAURANTE";"Vereador";15200;"MDB";"MDB";"Deferido";"Concorrendo"
"LETICIA VERÔNICA DA SILVA";"LETICIA VERÔNICA";"Vereador";51400;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"LIDIANE FARIA DUARTE DOS SANTOS";"LIDIANE PORTES";"Vereador";25005;"DEM";"DEM";"Deferido";"Concorrendo"
"LINCOLN GUSTAVO DE SALES";"LINCOLN MAIS";"Vereador";11701;"PP";"PP";"Deferido";"Concorrendo"
"EDEN LUIZ DE SIQUEIRA FREITAS";"LINDAO DO LAVA RAPIDO";"Vereador";65656;"PC do B";"PC do B";"Deferido";"Concorrendo"
"FLORISVALDO GONÇALVES FERNANDES";"LIN FERNANDES";"Vereador";13200;"PT";"PT";"Deferido";"Concorrendo"
"LINO BISPO DA ROCHA";"LINO BISPO";"Vereador";22100;"PL";"PL";"Deferido";"Concorrendo"
"DEUSELINDO DONIZETTI DO COUTO";"LINO COUTO";"Vereador";14014;"PTB";"PTB";"Deferido";"Concorrendo"
"LISSA GALVÃO";"LISSA GALVÃO";"Vereador";15222;"MDB";"MDB";"Deferido";"Concorrendo"
"LUCAS BRONZATTO REBOUÇAS";"LUCAS DA CACULÉ MOTOS";"Vereador";22331;"PL";"PL";"Deferido";"Concorrendo"
"LUCAS PEREIRA GUIO";"LUCAS GUIO";"Vereador";65650;"PC do B";"PC do B";"Deferido";"Concorrendo"
"ANTONIA LUCIA PEREIRA";"LÚCIA GALVÃO";"Vereador";13456;"PT";"PT";"Deferido";"Concorrendo"
"LUCIANA MARQUES VINO";"LUCIANA VINO";"Vereador";36999;"PTC";"PTC";"Deferido";"Concorrendo"
"LUCIANO GUEDES PINTO";"LUCIANO SAM";"Vereador";14150;"PTB";"PTB";"Deferido";"Concorrendo"
"LUIGI BERTONCINI";"LUIGI BERTONCINI";"Vereador";15410;"MDB";"MDB";"Deferido";"Concorrendo"
"LUIS FABIANO COSTA";"LUIS FABIANO";"Vereador";65222;"PC do B";"PC do B";"Deferido";"Concorrendo"
"LUIZ CLAUDIO PIRES PEREIRA";"LUIZ CLAUDIO";"Vereador";36765;"PTC";"PTC";"Indeferido com recurso";"Concorrendo"
"LUIZ MARINO DE SOUZA";"LUIZINHO DA FARMÁCIA";"Vereador";28088;"PRTB";"PRTB";"Deferido";"Concorrendo"
"LUIZ GUILHERME LACERDA GOMES";"LUIZ LACERDA";"Vereador";77707;"SOLIDARIEDADE";"SOLIDARIEDADE";"Indeferido com recurso";"Concorrendo"
"JOSÉ FREIRE MACIEL PARENTE JÚNIOR";"MACIEL JUNIOR";"Vereador";11333;"PP";"PP";"Deferido";"Concorrendo"
"ANTONIO DE PÁDUA DO PRADO";"MAGAL DO PRIMAVERA";"Vereador";23222;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"GERALDO MAGELA DA CRUZ";"MAGELA";"Vereador";65300;"PC do B";"PC do B";"Deferido";"Concorrendo"
"PAULO ROBERTO DA CUNHA";"MAGRÃO BORRACHEIRO";"Vereador";11620;"PP";"PP";"Deferido";"Concorrendo"
"MARIA JOSÉ SOUZA VALE";"MAJÔ DA SAÚDE";"Vereador";25192;"DEM";"DEM";"Deferido";"Concorrendo"
"TADEU AMÉRICO PINTO";"MAJOR AMÉRICO";"Vereador";51800;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"JOSE MANCILHA PINTO";"MANCILHA DO MERCADINHO";"Vereador";45222;"PSDB";"PSDB";"Deferido";"Concorrendo"
"SILVIO DO CARMO CAMARGO";"MANINHO CEM POR CENTO";"Vereador";77200;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"MANOEL JOSÉ DE OLIVEIRA";"MANOEL DO RESTAURANTE";"Vereador";13513;"PT";"PT";"Deferido";"Concorrendo"
"JOSÉ MARIA MARÇAL BARBOSA";"MARÇAL BARBOSA";"Vereador";14561;"PTB";"PTB";"Deferido";"Concorrendo"
"MARCO AURÉLIO SIMÃO RODRIGUES";"MARCÃO DA ACADEMIA AO AR LIVRE";"Vereador";25111;"DEM";"DEM";"Deferido";"Concorrendo"
"MARCOS VIRGÍLIO DA SILVA";"MARCÃO DO INTERLAGOS";"Vereador";25123;"DEM";"DEM";"Deferido";"Concorrendo"
"MARCOS CAMPOS SIMÕES";"MARCÃO FIAT CAR";"Vereador";11000;"PP";"PP";"Deferido";"Concorrendo"
"MARCELO DE ALMEIDA GONÇALVES";"MARCELINHO";"Vereador";14140;"PTB";"PTB";"Deferido";"Concorrendo"
"MARCELO FERREIRA DA SILVA";"MARCELLO FERREIRA";"Vereador";25321;"DEM";"DEM";"Deferido";"Concorrendo"
"MARCELO LUCIO COSTA";"MARCELO ADSUMUS";"Vereador";55099;"PSD";"PSD";"Deferido";"Concorrendo"
"MARCELO FONSECA DOS SANTOS";"MARCELO DADÁ";"Vereador";17777;"PSL";"PSL";"Deferido";"Concorrendo"
"JOSÉ MARCELO DA SILVA FERREIRA";"MARCELO DA FÉ";"Vereador";77321;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"MARCELO MARCELINO GARCIA";"MARCELO GARCIA";"Vereador";14444;"PTB";"PTB";"Deferido";"Concorrendo"
"MARCELO IGLESIAS MORAES";"MARCELO IGLESIAS";"Vereador";13130;"PT";"PT";"Deferido";"Concorrendo"
"MARCELO RIBEIRO DA SILVA";"MARCELO RIBEIRO";"Vereador";13300;"PT";"PT";"Deferido";"Concorrendo"
"MARCELO DAL COL";"MARCELO UNIÃO";"Vereador";55100;"PSD";"PSD";"Deferido";"Concorrendo"
"MARCELO VANDERLAN DE OLIVEIRA";"MARCELO XEXÉU";"Vereador";22363;"PL";"PL";"Deferido";"Concorrendo"
"MÁRCIA HELENA PEREIRA FARIA";"MARCIA HELENA CUIDADORA";"Vereador";14011;"PTB";"PTB";"Deferido";"Concorrendo"
"MARCIA APARECIDA MACHADO";"MARCIA MACHADO";"Vereador";65777;"PC do B";"PC do B";"Deferido";"Concorrendo"
"MARCIA ROSA SILVEIRA";"MARCIA ROSPHER";"Vereador";51651;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"JOSÉ MARCIO DE CAMPOS";"MÁRCIO CAMPOS";"Vereador";25190;"DEM";"DEM";"Deferido";"Concorrendo"
"MARCO ANTONIO DE OLIVEIRA ALVES";"MARCO DO PET";"Vereador";77123;"SOLIDARIEDADE";"SOLIDARIEDADE";"Deferido";"Concorrendo"
"MARCOS ROBERTO CLARO";"MARCOS CLARO";"Vereador";23223;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"MARCOS VINICIUS NOGUEIRA";"MARCOS NOGUEIRA";"Vereador";55000;"PSD";"PSD";"Deferido";"Concorrendo"
"MARCO ANTONIO ZANFRA SARAIVA";"MARCO ZANFRA";"Vereador";45045;"PSDB";"PSDB";"Deferido";"Concorrendo"
"MARGARETE FERNANDES HONORATO";"MARGARETE DO BRECHÓ";"Vereador";70888;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"MARIA DO SOCORRO ALCANTARA";"MARIA ALCANTARA";"Vereador";20010;"PSC";"PSC";"Deferido";"Concorrendo"
"MARIA ANGELICA RIBEIRO";"MARIA ANGELICA";"Vereador";17321;"PSL";"PSL";"Deferido";"Concorrendo"
"MARIA ANTÔNIA NEVES CARDOSO";"MARIA ANTÔNIA";"Vereador";25625;"DEM";"DEM";"Deferido";"Concorrendo"
"MARIA IZELIA DA CONCEICAO";"MARIA IZÉLIA";"Vereador";65123;"PC do B";"PC do B";"Deferido";"Concorrendo"
"MARIA DA CRUZ VIEIRA";"MARIA VIEIRA";"Vereador";36541;"PTC";"PTC";"Indeferido";"Concorrendo"
"MARIA DE LURDES FARIA DE GODOI";"MARILU GODOI";"Vereador";14000;"PTB";"PTB";"Deferido";"Concorrendo"
"MARILZA DA ROCHA SALES";"MARILZA AÇAI";"Vereador";40400;"PSB";"PSB";"Deferido";"Concorrendo"
"MÁRIO LÚCIO ADRIÃO";"MÁRIO LÚCIO ADRIÃO";"Vereador";25300;"DEM";"DEM";"Deferido";"Concorrendo"
"MARLENE ISABEL DA SILVA";"MARLENE ISABEL";"Vereador";36012;"PTC";"PTC";"Deferido";"Concorrendo"
"MARLUCIA DOS SANTOS LOPES";"MARLUCIA S LOPES";"Vereador";70162;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"ANTONIO MARCOS DAS CHAGAS";"MARQUINHOS DA FEIRA";"Vereador";23001;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"VALDIR MARTINS DE SOUZA";"MARROM DO PINHEIRINHO";"Vereador";13617;"PT";"PT";"Deferido";"Concorrendo"
"MARILDA APARECIDA MOREIRA";"MARY MORENA";"Vereador";28014;"PRTB";"PRTB";"Deferido";"Concorrendo"
"MASSAMI SHISHITO";"MASSAMI MASSA";"Vereador";36036;"PTC";"PTC";"Deferido";"Concorrendo"
"MAURO APARECIDO ROSA";"MAURINHO DO POVO";"Vereador";36333;"PTC";"PTC";"Deferido";"Concorrendo"
"MAUROESSIL MAURO CURSINO ELYSEO";"MAUROESSIL MAURO CURSINO ELYSE";"Vereador";50777;"PSOL";"PSOL";"Deferido";"Concorrendo"
"MAYARA BARROS CARVALHO DA SILVA";"MAYARA CARVALHO";"Vereador";28017;"PRTB";"PRTB";"Deferido";"Concorrendo"
"ROSEMARY FONSECA DE SOUZA MENDES";"MAY FONSECA";"Vereador";20500;"PSC";"PSC";"Deferido";"Concorrendo"
"MAYRA DE MEDEIROS BOTELHO";"MAYRA DO APP";"Vereador";11444;"PP";"PP";"Deferido";"Concorrendo"
"DEMETRIUS CLAILSON SILVA";"MESTRE DEMETRIUS SILVA";"Vereador";20123;"PSC";"PSC";"Deferido";"Concorrendo"
"MICHEL MENDES FROHLINGSDORF";"MICHEL DORF";"Vereador";23305;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"MICHELLE DANIELLE FERNANDES";"MICHELLE FERNANDES";"Vereador";45005;"PSDB";"PSDB";"Deferido";"Concorrendo"
"ALMIR SALES DE OLIVEIRA";"MI DA NORTE";"Vereador";25444;"DEM";"DEM";"Deferido";"Concorrendo"
"MIGUEL RENATO DE SOUZA NISHIMURA";"MIGUELITO";"Vereador";15321;"MDB";"MDB";"Deferido";"Concorrendo"
"MILENA CASTRO ROSSO RIBEIRO";"MILENA ROSSO";"Vereador";51321;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"MILENE FABIANA VITORIANO COSTA";"MILENE";"Vereador";19455;"PODE";"PODE";"Deferido";"Concorrendo"
"MILTON VIEIRA";"MILTÃO";"Vereador";28028;"PRTB";"PRTB";"Deferido";"Concorrendo"
"MILTON DE OLIVEIRA";"MILTINHO DA ELETRÔNICA";"Vereador";51051;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"MILTON DO CARMO";"MILTON DO CARMO";"Vereador";20137;"PSC";"PSC";"Deferido";"Concorrendo"
"RICELLI MARTINS PINTO";"MILTON VIEIRA FILHO";"Vereador";10300;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"MIRANDA UEB MACHADO";"MIRANDA UEB";"Vereador";23690;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"MIRELLA LIA CHRISTIE SIMPLICIO SILVA";"MIRELLA CHRISTIE";"Vereador";65655;"PC do B";"PC do B";"Deferido";"Concorrendo"
"MIRIAM APARECIDA NUNES CAIANI";"MIRIAM CAIANI";"Vereador";20777;"PSC";"PSC";"Deferido";"Concorrendo"
"IVETE RODRIGUES DE OLIVEIRA";"MISSIONARIA IVETE";"Vereador";19111;"PODE";"PODE";"Deferido";"Concorrendo"
"PAULO ROBERTO VIEIRA DE SANTANA";"MISSIONARIO PAULO";"Vereador";36551;"PTC";"PTC";"Indeferido com recurso";"Concorrendo"
"MOISES CELESTE DE ARAUJO";"MOISES JESUS";"Vereador";19333;"PODE";"PODE";"Deferido";"Concorrendo"
"MOISÉS PEREIRA";"MOISÉS PEREIRA";"Vereador";40200;"PSB";"PSB";"Deferido";"Concorrendo"
"MÔNICA OLIVEIRA ARENCE";"MÔNICA CARIOCA";"Vereador";14699;"PTB";"PTB";"Deferido";"Concorrendo"
"RONALDO SILVA BARBOSA";"NALDO";"Vereador";65012;"PC do B";"PC do B";"Deferido";"Concorrendo"
"NATANAEL DA SILVA";"NATANAEL SILVA";"Vereador";65156;"PC do B";"PC do B";"Indeferido";"Concorrendo"
"NAZARETH DE MELO VASCONCELOS";"NAZARETH VASCONCELOS";"Vereador";55074;"PSD";"PSD";"Deferido";"Concorrendo"
"JACKSON HENRIQUE DE SOUZA";"NEGO JACKSON";"Vereador";10999;"REPUBLICANOS";"REPUBLICANOS";"Deferido";"Concorrendo"
"EDNEIA SILVIA DE MOURA FERNANDES CARVALHO";"NEIA CARVALHO UM CINCO MEIA";"Vereador";28156;"PRTB";"PRTB";"Deferido";"Concorrendo"
"MARIA APARECIDA BENTO";"NEIA DA CARROÇA";"Vereador";23014;"CIDADANIA";"CIDADANIA";"Deferido";"Concorrendo"
"NELMA MARIA BIAGIONI MELO";"NELMA BIAGIONI";"Vereador";25255;"DEM";"DEM";"Deferido";"Concorrendo"
"NEUSA LEONORA DO CARMO DELLÚ";"NEUSA DO CARMO";"Vereador";14800;"PTB";"PTB";"Deferido";"Concorrendo"
"NEY PEREIRA GOMES";"NEY LOVE";"Vereador";51999;"PATRIOTA";"PATRIOTA";"Deferido";"Concorrendo"
"SIDNEY CUSTODIO";"NEY SOLIDÁRIOS";"Vereador";25900;"DEM";"DEM";"Deferido";"Concorrendo"
"NIDIA PAULA DOS SANTOS OLIVEIRA";"NIDIA SANTOS";"Vereador";55499;"PSD";"PSD";"Deferido";"Concorrendo"
"NILDA MARIA DIAS";"NILDA DA CAUSA ANIMAL";"Vereador";28444;"PRTB";"PRTB";"Deferido";"Concorrendo"
"NILTON APARECIDO BARBOSA";"NILTON BLAU";"Vereador";45007;"PSDB";"PSDB";"Deferido";"Concorrendo"
"ROGÉRIO TOLEDO";"OBAMA";"Vereador";19099;"PODE";"PODE";"Deferido";"Concorrendo"
"ONIAS CARLOS PIRES";"ONIAS PIRES";"Vereador";50077;"PSOL";"PSOL";"Deferido";"Concorrendo"
"ORIANA MARIA DIAS CHAVES";"ORIANA CHAVES";"Vereador";13024;"PT";"PT";"Deferido";"Concorrendo"
"ORLANDO DE ANDRADE RIBEIRO";"ORLANDO ANDRADE";"Vereador";28045;"PRTB";"PRTB";"Indeferido com recurso";"Concorrendo"
"OSMAR ANTONIO FERREIRA";"OSMAR FERREIRA";"Vereador";20045;"PSC";"PSC";"Deferido";"Concorrendo"
"PABLO COSME REDICOPA";"PABLO REDICOPA";"Vereador";22800;"PL";"PL";"Deferido";"Concorrendo"
"MARIA GABRIELA SABINO CARVALHO";"PASTORA GABI CARVALHO";"Vereador";55144;"PSD";"PSD";"Deferido";"Concorrendo"
"JOSIANE GUILHER PADILHA";"PASTORA JOSY";"Vereador";11184;"PP";"PP";"Deferido";"Concorrendo"
"EDIMARI JULIANA NATALIA LOPES SIMOES";"PASTORA JULIANA";"Vereador";20002;"PSC";"PSC";"Deferido";"Concorrendo"
"TERESINHA DA SILVA BRAGA OLIVEIRA";"PASTORA TERESINHA BRAGA";"Vereador";14777;"PTB";"PTB";"Deferido";"Concorrendo"
"PATRICIA GARROTE DA SILVA VIEIRA";"PATRICIA GARROTE";"Vereador";17400;"PSL";"PSL";"Deferido";"Concorrendo"
"PATRICIA PONTES BECKER";"PATRICIA PONTES";"Vereador";22456;"PL";"PL";"Deferido";"Concorrendo"
"PAULA CAROLINE MIRANDA GONÇALVES";"PAULA MIRANDA";"Vereador";28700;"PRTB";"PRTB";"Deferido";"Concorrendo"
"PAULO EDUARDO DE MENEZES";"PAULÃO MÚSICO";"Vereador";70222;"AVANTE";"AVANTE";"Deferido";"Concorrendo"
"PAULINA BENEDITA DE ALMEIDA ANDRADE";"PAULINA DE ALMEIDA";"Vereador";28193;"PRTB";"PRTB";"Deferido";"Concorrendo"
